Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-90.14481	129.89438	12.796549	-339.05713	-5.2964525	39.420406	59.059147	-86.91155	284.07144	345.4	3999	5.6259146	3.701148	26.8677	-5.7443085	5.625734	3.7002976	27.065107	-6.238154	-4.330383	1.6690097	21.516235	-14.793935	-6.759315	0.2031074	0.20651244	13.266792058944702
2	-39.002026	82.65596	28.407349	-355.18918	40.86481	123.27443	342.80334	-84.07969	129.74193	421.9	7999	21.113138	7.535563	57.573307	-8.502979	21.114128	7.5342793	57.120075	-6.096076	-1.7374116	2.8340611	19.991385	-15.810155	-22.802752	0.96233207	0.9549169	29.619395971298218
3	-134.32687	208.53166	15.75425	-605.0541	44.971622	152.14226	377.81805	-164.90948	330.25	352.5	11999	42.400005	8.447988	83.40904	-15.919409	42.40021	8.444161	85.79991	-10.158353	-0.73817664	3.3134391	25.911716	-16.126133	-44.17526	1.9452903	1.9762855	46.035184144973755
4	-63.13146	119.0541	11.241195	-335.60236	393.59048	291.54633	761.03455	-5.661962	267.2	639.1	15999	48.299503	8.875066	92.1587	-23.262589	48.299625	8.886346	90.06083	-16.807928	-2.3255193	2.4907744	20.477928	-15.284361	-49.2487	2.2592256	2.15705	64.53799343109131
5	-30.193428	70.9612	52.220005	-191.51268	545.2221	270.80606	766.13776	12.801908	299.46155	808.7	19999	46.03358	9.488824	90.41686	-40.27148	46.033924	9.491212	89.75153	-27.57838	-2.6771088	2.263752	18.6751	-15.048528	-46.81033	2.0650485	2.0381966	83.99043011665344
6	-67.28468	62.491974	32.759495	-136.05263	512.4877	247.90404	809.8332	34.691463	655.4	771.1	23999	43.3576	9.451828	86.37517	-30.821594	43.357815	9.452084	86.276085	-27.696438	-2.8874378	2.1895626	23.127861	-15.851896	-44.095535	1.6247048	1.6050509	103.25528931617737
7	19.552942	40.51166	142.94447	-38.75952	543.2694	277.7403	860.74786	70.18258	265.33334	751.7	27999	42.02539	9.541992	89.379005	-26.205109	42.024784	9.544455	88.71498	-24.336481	-3.0378726	2.116576	22.896812	-16.540651	-42.690125	1.6471514	1.6531931	122.40284442901611
8	32.733173	54.41258	144.06252	-42.437138	673.6605	255.37152	879.5121	29.413927	361.3	841.6	31999	41.113953	8.899708	87.14573	-28.039598	41.113735	8.901663	88.3396	-28.920118	-3.0857012	2.0900795	19.408754	-15.496135	-41.758923	1.7017673	1.7051762	142.2875099182129
9	47.475704	37.041527	101.04003	-6.3243914	604.05566	298.45755	948.4302	119.87252	386.55554	713.5	35999	40.84869	7.9695735	80.277626	-24.859383	40.84812	7.967698	82.536736	-25.608696	-3.1657	2.073622	24.43021	-16.69006	-41.487885	1.5711102	1.5861892	161.33478116989136
10	63.678616	64.74938	183.41432	-3.1825223	497.92178	358.9891	923.10956	21.392431	417.63635	564.1	39999	41.089405	7.1368833	80.35046	-28.381279	41.089294	7.137975	77.93684	-32.08447	-3.2322822	2.043912	24.835556	-14.252623	-41.752743	1.3088868	1.3076228	179.5266478061676
11	96.00098	42.19793	177.28621	19.28237	639.6	334.67642	1007.7518	28.429102	362.33334	704.3	43999	42.570076	6.6519814	85.86753	-29.978666	42.570133	6.654541	87.29734	-23.755585	-3.2774773	2.033538	21.902308	-16.205658	-43.24614	1.3012509	1.2757875	198.72650814056396
12	119.00449	42.390438	157.94174	42.50205	689.1221	302.8294	964.8768	40.815384	673.0	823.6	47999	44.52046	6.2433863	89.449646	-29.156866	44.52008	6.2440166	84.42479	-19.610556	-3.2734785	2.0113578	23.13839	-14.984613	-45.20807	1.19873	1.190011	218.56463170051575
13	117.86113	72.454414	223.40163	18.149164	773.50366	253.65135	986.62384	74.96711	479.125	906.5	51999	46.67271	6.025807	90.066986	-34.265434	46.67246	6.028711	89.16989	-43.084427	-3.321774	2.0049286	22.930342	-15.376891	-47.36257	1.1855166	1.1754348	238.79896759986877
14	212.0332	78.28833	343.92972	82.099075	661.0033	242.27458	970.32764	19.783972	750.0	902.6	55999	49.032906	5.9115205	91.64284	-25.883522	49.03258	5.920488	90.231316	-33.214706	-3.3230972	1.9944305	29.055925	-15.211406	-49.725883	1.1786702	1.1537012	259.09218192100525
15	167.72507	109.926445	314.8157	14.44882	761.7414	101.28648	901.1055	606.18286	595.0	1000.0	59999	51.38966	5.9083743	93.244125	-42.769035	51.389214	5.9134927	92.31328	-26.706823	-3.30996	1.9994237	24.635284	-14.398408	-52.079693	1.1629573	1.1470227	279.8940327167511
16	123.24372	85.18497	219.33484	0.30235952	709.3072	365.9636	1002.6693	13.717726	517.1111	805.8	63999	53.566616	5.881536	93.16646	-24.34644	53.566525	5.881839	90.9856	-27.56729	-3.3135703	2.0190308	34.006836	-13.689825	-54.255714	1.1525582	1.1690264	299.68208265304565
17	170.90735	105.4207	298.5849	9.197633	565.8606	367.87527	934.8508	100.121605	560.1667	634.4	67999	55.778305	5.985712	93.01571	-25.445385	55.77785	5.9871187	92.6327	-27.387562	-3.3179111	2.0154989	25.898006	-14.504532	-56.465454	1.1223755	1.1369725	318.85097646713257
18	170.42831	67.20686	241.01472	26.76769	400.94437	373.08453	1018.9886	13.905191	624.2857	464.6	71999	57.91501	6.024884	89.53163	-31.580912	57.9146	6.0273147	91.58196	-46.880363	-3.33192	2.0100396	28.659315	-14.920311	-58.60628	1.0881587	1.0952324	336.8591892719269
19	178.4753	129.39583	382.8042	25.311996	625.74994	387.1277	1012.2857	71.36427	680.5	648.9	75999	59.938625	6.144512	90.99673	-25.009365	59.93871	6.1392236	89.772095	-38.802227	-3.368813	1.9778159	24.641706	-15.837745	-60.619884	1.1087836	1.1406331	355.94542241096497
20	216.12057	103.9604	362.75436	76.272964	815.3971	252.23291	1064.919	186.73866	587.8571	914.6	79999	61.6379	6.37438	91.591995	-32.542202	61.63746	6.370081	90.59824	-33.16489	-3.3879812	1.9393774	29.308178	-15.291788	-62.314972	1.0956169	1.1496065	376.36350774765015
21	227.93066	110.270035	389.5986	41.402813	509.32446	414.51215	982.54016	44.563564	696.8333	541.3	83999	63.281345	6.6174846	93.86405	-34.075275	63.281464	6.613237	90.36819	-31.890408	-3.3841388	1.9589657	29.853428	-15.180904	-63.94566	1.0928948	1.1015337	394.82241201400757
22	148.3795	152.89862	433.21176	-12.698139	647.1761	296.28354	899.23114	42.117073	356.9	807.9	87999	64.77151	6.768562	91.51111	-50.34021	64.77131	6.7667933	92.98785	-31.016445	-3.3950562	1.9562151	32.10375	-15.953553	-65.42385	1.201839	1.2164633	414.70913457870483
23	229.67012	135.31447	480.0098	38.976196	491.92383	343.76416	959.7676	51.553875	556.125	625.7	91999	66.02779	7.1209126	94.19709	-41.706276	66.02773	7.118879	93.84302	-32.375034	-3.3713644	1.9691969	27.857952	-16.515709	-66.68561	1.1790224	1.1875498	433.5769953727722
24	189.717	111.47378	320.61865	14.470809	249.94547	354.54938	1002.77997	17.118464	594.1667	242.0	95999	67.38278	7.3721414	96.35986	-34.90768	67.38302	7.3696394	97.08702	-38.70045	-3.3435159	1.9828135	29.333345	-15.599966	-68.03834	1.1968731	1.2231444	450.3462247848511
25	242.40266	167.2379	441.35553	13.440898	295.4029	404.09613	1026.1929	6.550315	515.7143	270.2	99999	68.70436	7.5058527	102.35395	-36.300034	68.70422	7.506505	98.70901	-24.313128	-3.3195515	2.0222557	31.289406	-14.5405445	-69.356186	1.3409389	1.3228245	467.316490650177
26	253.02614	68.436584	352.7384	139.73265	875.67004	170.45973	1159.8376	600.78436	547.7143	1000.0	103999	69.79564	7.5465302	98.110344	-43.839905	69.795395	7.546866	98.42054	-36.220963	-3.3371973	1.9737886	31.483433	-14.845042	-70.44375	1.3551399	1.3446813	488.47786045074463
27	257.53784	73.14408	328.65363	124.63598	633.8927	361.19458	1074.8044	35.36552	813.4	722.2	107999	70.96913	7.5327516	102.441345	-63.0414	70.96938	7.5311375	101.63227	-64.510254	-3.367024	2.0021846	40.48306	-15.971983	-71.61852	1.2514977	1.2465243	508.08685851097107
28	178.89333	129.17287	437.89246	10.39992	462.6417	383.00186	1043.9349	77.98434	313.14285	542.5	111999	72.18147	7.43471	101.77818	-42.98678	72.1814	7.4368486	103.28153	-33.125767	-3.323741	2.0338662	35.702965	-15.883379	-72.82738	1.3498166	1.343456	526.5440473556519
