Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-39.09776	59.376472	6.6906548	-328.41318	-596.51465	1043.3708	-30.966507	-2757.1611	98.15151	219.3	3999	7.735464	8.582798	53.571003	-12.535957	-10.314138	0.91777146	11.051120042800903
2	-40.160137	81.22525	10.494054	-402.91187	-387.87186	855.1549	-30.206406	-2948.3445	132.62857	135.9	7999	132.2244	88.553085	395.39966	-59.950268	-151.06161	51.329796	23.672544479370117
3	-159.2767	460.83145	1.5501856	-2652.8667	-691.2914	1129.1826	-41.45282	-2954.891	121.741936	235.9	11999	720.5183	235.78369	1265.6644	-353.29837	-770.2326	871.84296	37.378729820251465
4	-409.3563	839.7126	-22.303291	-2631.5789	-108.29299	94.86384	-23.24608	-365.13144	156.16667	38.7	15999	1141.2026	130.52882	1410.9423	-571.57043	-1170.2717	1752.8756	50.29288148880005
5	-242.73692	619.452	-9.223561	-2618.8613	-74.522964	47.547474	-17.345774	-176.30812	98.60465	29.7	19999	1218.3717	134.4328	1459.1711	-615.3608	-1242.5894	2353.1978	63.27493453025818
6	-627.5222	815.6541	-17.680649	-2046.3068	-55.979836	28.997246	-25.995132	-124.4234	314.30768	37.8	23999	1262.5549	135.07892	1569.6489	-761.4332	-1288.5236	1830.274	76.34127902984619
7	-196.76083	509.42917	-12.3223	-1963.305	-290.7771	614.1448	-0.97990966	-2125.9153	106.42105	151.2	27999	1306.6101	129.3183	1573.1295	-1828.2096	-1331.1136	1928.9398	90.16743469238281
8	-302.3363	576.47687	-0.14390913	-1940.436	-506.69394	828.8244	-18.346628	-2182.833	162.66667	250.8	31999	1302.5753	126.86651	1553.2429	-761.1644	-1324.5597	1713.6954	104.43264508247375
9	-215.6158	473.49643	-6.4512215	-1983.2311	-484.99463	828.5247	-8.524137	-2203.5044	115.29412	236.2	35999	1254.2854	126.00482	1497.4319	-786.482	-1273.8907	1941.1407	118.66663312911987
10	-1026.363	956.38446	-31.800833	-2070.2244	-847.8622	957.1305	-29.778961	-2356.6704	525.5	363.3	39999	1190.9343	116.59884	1409.7845	-666.32697	-1209.0865	1346.4208	133.618891954422
11	-365.0382	654.96967	-12.46792	-2070.0024	-107.12386	53.556637	-54.285667	-199.49736	182.48	57.6	43999	1118.4119	107.561775	1383.6444	-680.9456	-1133.9707	1126.9329	146.7222399711609
12	-608.92645	889.93964	-22.860836	-2141.183	-146.54459	253.03476	-16.09761	-885.52313	312.0	78.2	47999	1025.8636	100.821434	1227.5355	-772.60785	-1039.494	1096.9127	160.13000679016113
13	-644.59344	779.069	-23.926956	-2055.6099	-54.187828	34.51494	-20.304832	-127.93351	352.23077	48.6	51999	931.1591	91.94929	1131.9963	-671.6689	-942.8882	803.85205	173.3052864074707
14	-482.70462	708.94305	-16.70687	-2148.9275	-658.19635	1023.4149	400.22574	-2248.1196	240.05882	423.9	55999	831.0264	86.742584	1021.9738	-586.2807	-841.10767	654.04126	188.76499104499817
15	-584.67316	888.4222	8.648648	-2126.3113	-56.626892	45.459305	-17.115086	-167.60023	292.16666	40.7	59999	731.2435	77.289055	914.13837	-446.87796	-739.8829	485.6059	201.80153489112854
16	-537.28503	854.31683	-3.1387331	-2118.2966	-375.95795	626.9938	-30.814882	-2178.8645	274.0	290.6	63999	637.35846	68.51326	825.19336	-587.95624	-644.5033	366.70856	216.54917669296265
17	-653.6461	757.13214	-12.34654	-2042.7865	-274.14178	232.82278	-7.683439	-618.3608	410.2	392.2	67999	549.2568	62.170677	719.35144	-368.49487	-555.5028	264.78693	231.81727147102356
18	-324.11108	556.245	-0.23833676	-1792.2166	-205.6121	623.0819	457.5878	-1468.7219	320.57144	617.5	71999	470.76636	57.141396	659.3658	-373.5333	-476.03836	192.8182	248.44195699691772
19	-363.74973	550.2442	25.393885	-1542.7195	244.62471	516.3907	659.3339	-1139.2972	435.1	805.4	75999	401.21393	53.90565	555.2061	-287.20615	-405.78094	135.41098	266.31289196014404
20	-501.375	710.007	230.1523	-1511.4276	515.21356	66.00405	618.9997	408.9314	699.8	1000.0	79999	341.7393	52.308743	488.39163	-300.65793	-345.90088	111.79081	285.401319026947
21	-5.438551	267.9897	337.7348	-661.3998	10.82929	463.4484	483.1497	-930.385	491.66666	822.5	83999	292.7482	53.918404	443.45847	-299.11844	-296.54034	82.05053	303.34717988967896
22	129.6594	160.0765	318.75436	-72.492744	-258.90552	675.88464	786.8733	-1364.26	870.5	914.3	87999	252.13608	56.98855	385.9403	-254.67493	-255.70099	65.10487	321.96573090553284
23	-581.11536	700.79663	17.609924	-1726.4204	72.4231	622.35974	458.6515	-1382.2904	549.8571	1000.0	91999	218.84283	62.186726	353.0065	-266.52353	-222.37271	56.366634	341.2828481197357
24	-322.18793	467.70172	62.26565	-1231.0514	-459.78775	231.9277	-1.8097308	-642.0129	850.4	804.9	95999	195.63377	67.537865	327.54758	-185.526	-199.1546	48.087	359.14364361763
25	-324.02274	309.35632	11.672578	-714.62726	-871.3262	209.84221	-300.6881	-1031.1123	744.4	1000.0	99999	179.607	72.190926	338.29135	-187.67914	-183.15721	45.11996	378.224081993103
26	-587.4825	363.51904	-84.093124	-1205.5804	-1264.0273	664.48395	-8.330077	-1766.0258	751.8333	803.6	103999	168.956	78.47043	359.77744	-165.03543	-172.46172	49.592026	396.02335023880005
