Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-34.71404	67.15529	31.07892	-340.8523	-335.54208	817.8625	-29.787966	-2787.3716	118.566666	120.9	3999	2.761361	3.1007295	21.665731	-5.059042	-3.7492683	1.4216931	9.153263568878174
2	-62.233868	97.02506	14.05293	-350.0109	-1532.9534	1295.2515	-151.3604	-2844.06	202.26315	544.8	7999	12.191189	5.186832	34.714226	-4.845582	-14.037548	3.9578152	22.848330974578857
3	-254.73608	573.0103	2.7767606	-2412.2861	-1245.8058	1011.08636	-39.648853	-2490.981	244.625	504.4	11999	18.356499	3.9675057	37.26052	-0.34947863	-20.019915	4.8783903	36.723597049713135
4	-521.0108	690.04706	-26.129818	-2236.6836	202.12976	190.92033	448.90994	-21.73298	357.53845	555.0	15999	7.857161	4.644483	30.95324	-11.5481615	-8.636172	3.7014403	51.401806354522705
5	468.92633	246.02542	648.8547	49.064148	498.67822	7.4557796	516.8763	490.41373	824.75	1000.0	19999	3.6157315	3.5925672	20.898914	-12.643007	-4.616999	2.5412476	70.71979236602783
6	711.2582	64.60123	783.8009	615.52484	828.7381	12.261314	853.0871	811.2853	1000.0	1000.0	23999	7.0775757	3.7474792	23.503265	-10.96519	-8.215702	1.9293288	90.85120749473572
7	826.0287	30.163387	866.5571	784.1582	883.3986	28.721966	919.05945	812.1695	1000.0	1000.0	27999	10.765577	3.4929745	27.461086	-7.7003484	-11.897351	1.6266828	110.93670201301575
8	772.3083	34.73891	810.67615	715.82983	760.0984	22.256315	792.5121	726.3301	1000.0	1000.0	31999	13.234706	3.0065327	28.746704	-5.4963303	-14.310316	1.3937339	131.15175127983093
9	739.02844	61.293167	819.6061	658.5328	825.5417	4.907475	832.6698	818.74835	1000.0	1000.0	35999	14.434429	2.632174	29.78168	-3.3744671	-15.417658	1.2437037	151.3162763118744
10	782.1183	27.87365	806.75586	735.0832	873.6421	26.599617	895.0555	808.01416	1000.0	1000.0	39999	15.026206	2.4124095	30.498013	-2.6013072	-15.9420805	1.1252652	171.5176646709442
11	730.5342	31.105936	762.3437	681.47473	833.2892	43.332405	902.5344	760.95593	1000.0	1000.0	43999	15.292839	2.3018305	30.577772	-3.2490962	-16.149609	1.0371318	191.83321070671082
12	771.63544	11.325099	785.0653	754.3982	892.74084	19.812843	918.7181	847.6899	1000.0	1000.0	47999	15.423312	2.2567353	31.13346	-3.7749345	-16.222618	0.97810394	211.9400758743286
13	752.4569	43.88489	800.9039	681.233	787.1205	150.46915	893.28107	371.39444	1000.0	944.1	51999	15.553114	2.267351	31.273022	-6.540579	-16.307161	0.9697331	231.4300253391266
14	556.733	152.25793	678.60956	265.74316	824.054	70.327324	1013.9031	753.03125	825.8	1000.0	55999	15.578969	2.2822087	31.129303	-5.442604	-16.291069	0.9181232	251.94550490379333
15	608.33075	72.21494	691.0032	507.2988	780.35754	36.953136	845.5639	724.5725	934.75	1000.0	59999	15.405731	2.3864374	32.225754	-7.1699224	-16.08181	0.954282	272.686283826828
16	742.18445	167.26213	886.90955	420.80408	765.9168	52.18953	861.02277	711.2837	898.6	1000.0	63999	15.429642	2.4402792	31.326838	-5.07574	-16.082481	0.94925267	293.27919721603394
17	793.7465	31.613234	847.2243	764.8417	834.2638	87.87616	891.9963	612.88116	1000.0	1000.0	67999	15.574889	2.4347615	31.62029	-4.6707907	-16.203033	0.9324514	313.9345750808716
18	837.9258	66.64691	930.6457	755.1338	839.433	25.971344	868.3338	774.7269	1000.0	1000.0	71999	15.6765585	2.4315305	32.035843	-5.843937	-16.288183	0.8677309	334.4061658382416
19	774.2385	46.261143	812.2015	697.82837	770.85266	235.3743	881.42523	68.36955	1000.0	906.6	75999	15.790129	2.4343605	32.7971	-5.5555325	-16.379557	0.8511858	354.18613719940186
20	780.9253	69.053474	850.15125	697.3343	777.65393	239.27731	926.7594	73.54619	1000.0	905.4	79999	15.919076	2.4510438	33.0208	-5.429243	-16.495182	0.8226543	373.9968342781067
