Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	123.07231	35.85362	243.4106	78.39408	260.72284	10.207001	275.79028	247.76248	24.539877	47.3	3999	44.985672	26.394543	114.2498	-37.10243	44.98052	26.403791	115.843956	-37.662888	-7.8484707	7.47531	261.58688	-21.32594	-47.623135	3.6814091	3.7101247	16.997596502304077
2	123.31325	31.866919	208.56003	78.55847	222.79172	25.885115	275.58356	199.13293	24.549383	45.0	7999	142.72096	73.46821	341.0439	-60.09807	142.72327	73.45993	333.79346	-54.781967	1.1652873	4.619126	28.990868	-21.885403	-154.02936	13.3212385	13.478141	38.49601864814758
3	180.7597	116.70202	630.84863	83.121666	237.04745	3.5660012	241.7975	230.25922	36.321102	45.6	11999	317.15466	148.03326	591.88385	-93.57017	317.15497	147.9996	612.8543	-81.86211	7.552775	5.8420844	37.935944	-18.95922	-339.87692	66.870895	69.89548	61.1688392162323
4	337.05347	92.59642	676.3769	168.97726	287.78165	32.410557	354.60663	239.27835	68.28814	64.5	15999	361.16476	173.03928	602.36884	-172.39282	361.1681	173.02779	607.125	-171.58124	4.3800273	7.9824524	42.84195	-20.068075	-374.179	124.585106	125.08636	84.81910681724548
5	350.91873	57.796017	499.98428	234.5802	374.1705	23.81301	409.92303	338.20563	66.73333	69.8	19999	295.78403	161.28508	554.78143	-167.60815	295.78537	161.27986	554.2092	-172.84593	1.8381127	7.0860963	37.842392	-25.95884	-303.19977	78.61856	79.53576	109.09166646003723
6	381.57376	76.640144	708.5226	294.1397	291.79547	7.739134	308.03766	279.0111	72.854546	54.8	23999	238.7584	143.77448	476.3362	-70.213	238.76074	143.76701	479.53857	-70.6142	-0.33793467	6.081524	28.384007	-23.055344	-243.61552	55.474937	56.701538	132.65871834754944
7	375.69763	80.256256	647.3513	227.51485	413.03864	19.329393	434.8166	374.48526	73.388885	89.1	27999	197.22806	119.029465	409.41208	-64.264015	197.23402	119.01836	416.04407	-58.835686	-2.3014312	5.73611	26.875458	-23.16723	-200.6121	42.139126	42.345123	157.03365230560303
8	407.04172	115.914635	800.4425	273.1859	322.44824	15.384549	340.33682	295.96194	84.020836	63.3	31999	176.73631	99.3242	363.9122	-61.767567	176.73807	99.32098	359.90775	-51.899223	-3.3923721	4.78821	22.33397	-23.274334	-179.44984	31.525753	31.796528	180.1374762058258
9	411.98438	82.03124	636.42535	297.07794	458.4599	65.64405	578.2014	383.56195	82.770836	87.3	35999	170.47842	90.66797	328.90656	-46.328545	170.47968	90.669205	340.9615	-50.2071	-4.070347	4.4946465	21.198702	-23.351173	-172.92638	23.147808	23.229082	203.3462369441986
10	458.3486	79.83099	661.1496	311.71835	528.6317	118.87222	776.1152	365.5141	88.888885	110.5	39999	171.63885	87.989975	315.3454	-30.087418	171.63985	87.99048	311.74023	-46.734196	-5.134787	4.483931	24.632313	-22.900002	-173.81369	18.331442	18.47999	227.32912492752075
