Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	119.39921	34.547974	260.86584	78.43882	250.15585	10.933926	270.8846	235.45285	23.767857	48.8	3999	41.88884	24.305138	116.20004	-13.077762	-44.24388	4.5798807	14.377358675003052
2	124.58308	33.463234	236.32805	78.566505	271.08038	16.645714	299.2488	248.54425	24.832298	53.3	7999	125.15884	60.34057	274.71072	-28.092989	-133.72531	20.071953	32.59948968887329
3	148.925	51.149326	224.64136	78.63037	209.00488	4.6867304	216.1871	202.7585	28.92029	39.9	11999	252.74088	112.628876	446.6277	-78.87908	-269.36032	82.10679	51.671414613723755
4	209.45305	5.332216	223.76015	200.38786	209.76973	5.3569674	219.87724	203.52412	39.524754	40.0	15999	252.40352	124.467865	422.98672	-94.0286	-260.46707	57.697422	74.35046815872192
5	207.87483	5.5567217	222.12418	193.51486	207.15247	5.2340236	215.62688	199.08394	39.235294	39.6	19999	175.95758	114.64146	416.14862	-57.887592	-178.141	29.152342	95.84128713607788
6	208.87988	5.377256	222.06122	195.49066	209.07425	5.1150928	216.88586	199.13168	39.39216	39.8	23999	115.34226	56.0628	277.63516	-19.501719	-116.261925	11.116457	117.44462013244629
7	210.17848	6.442689	224.67572	195.0159	211.23787	3.529805	216.53223	203.11493	39.61386	40.1	27999	116.26563	55.646076	216.88326	-24.797762	-117.949844	8.39518	139.341956615448
8	209.82855	5.5955105	224.06581	196.42442	210.48828	5.401944	217.34552	198.90382	39.524754	40.0	31999	114.84223	56.507355	213.2543	-21.709593	-116.11411	6.822871	161.07522320747375
9	209.59692	5.7243347	223.5714	195.81584	213.12976	3.6435664	216.49141	205.13269	39.465347	40.5	35999	112.09304	55.41375	210.31758	-21.682356	-113.178795	5.914491	182.92601132392883
10	210.0334	5.058833	224.27512	200.5886	211.47153	4.3107986	217.09503	204.64836	39.544556	40.2	39999	109.9018	54.67936	209.19676	-19.924675	-110.89539	4.967807	204.84398555755615
