Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-9.539061	6.4998255	-1.6408974	-16.768593	39.018276	3.654411	49.30828	34.95771	1000.0	1000.0	3999	6.341679	5.663015	37.36036	-3.848435	6.341524	5.662951	37.413666	-3.8061655	0.41395608	1.528457	5.680694	-11.1586485	-7.5356765	0.04459264	0.04459956	12.671538352966309
2	-5.675196	10.847142	11.14176	-16.32394	23.185558	0.7801925	24.521168	21.987288	1000.0	1000.0	7999	26.22253	12.369661	81.84862	2.7545335	26.22266	12.36951	81.6547	2.4276357	0.65579635	1.6311849	6.338752	-11.517119	-27.66741	0.10456525	0.10427091	27.4945011138916
3	12.476572	13.370212	25.868034	-2.3944767	22.33563	0.5512487	23.252033	21.179653	1000.0	1000.0	11999	48.754395	16.807629	101.452644	6.5111094	48.75445	16.807528	101.48105	6.7509356	0.59786475	1.5110899	6.6068482	-13.243593	-50.06753	0.08539373	0.083045274	43.44927358627319
4	21.288027	7.421221	28.7079	11.760249	4.309846	0.7252552	5.3050394	3.3727462	1000.0	1000.0	15999	63.210526	14.074365	122.869354	13.635193	63.210514	14.074318	123.05238	13.558048	-0.080869935	1.3970165	6.9204783	-9.759392	-63.944626	0.06278682	0.061658252	60.80171322822571
5	17.504253	10.1044655	28.353937	4.7379756	28.419018	1.4226303	31.785023	26.751759	1000.0	1000.0	19999	67.42963	14.676177	117.00456	25.46792	67.429756	14.675945	116.64461	25.071358	-0.6112513	1.123468	7.9101524	-10.656975	-67.829704	0.04840861	0.047559567	76.26648759841919
6	31.034668	6.184259	39.867733	22.380108	33.533794	1.3571079	35.160828	31.364006	1000.0	1000.0	23999	63.37868	12.0187025	103.9495	32.284595	63.378685	12.018627	103.84309	32.18544	-0.84356374	0.96634233	5.1628623	-8.53445	-63.68143	0.033997238	0.03227565	91.87586760520935
7	31.655188	2.8196447	36.113552	28.304667	33.92011	1.1335115	36.032852	32.36063	1000.0	1000.0	27999	57.971207	10.023346	94.17074	31.3632	57.97119	10.023337	94.38475	31.544016	-0.91806686	0.9088461	4.9471555	-10.129374	-58.261517	0.028470337	0.02838098	107.01975846290588
8	31.328363	1.170284	33.112556	29.829315	35.619347	1.358722	37.55223	33.67086	1000.0	1000.0	31999	52.98908	8.630281	87.60083	29.048273	52.989075	8.630173	87.67694	29.44203	-0.96076524	0.87058854	6.0360246	-9.361856	-53.26996	0.029169697	0.02757518	121.71268773078918
9	34.09092	2.2514162	36.5178	30.580015	39.83387	1.4933206	42.765488	38.32528	1000.0	1000.0	35999	48.65603	8.139667	82.195015	27.747509	48.656105	8.139528	82.21691	27.887796	-0.9870053	0.84381366	4.7012157	-8.148915	-48.925385	0.025576526	0.024786392	136.30474019050598
10	30.69741	2.3859155	34.22968	27.68329	37.542877	1.4552071	39.665596	34.884644	1000.0	1000.0	39999	44.98077	7.9334016	77.97261	29.141056	44.9808	7.933317	77.96843	29.101082	-1.018835	0.8200315	4.47908	-7.780323	-45.248074	0.023945658	0.023040006	151.15083169937134
11	30.39137	0.59460986	31.246977	29.70623	33.38627	4.1331205	36.999916	25.201397	1000.0	1000.0	43999	41.9657	7.9256644	76.0356	29.141327	41.96569	7.9256215	75.98519	29.072008	-1.0316427	0.8024653	3.917704	-9.806108	-42.232056	0.022642842	0.021930447	165.79843306541443
12	28.659523	0.5275229	29.005249	27.747398	37.774845	1.0019132	39.7523	36.15373	1000.0	1000.0	47999	39.426704	7.922032	74.3855	28.385645	39.426735	7.922132	74.06158	28.480944	-1.056989	0.7758137	5.059901	-7.9318886	-39.688763	0.020471267	0.019492785	180.5171775817871
13	31.22487	4.164748	37.85875	26.606903	28.929605	15.977838	40.191513	-3.803081	1000.0	1000.0	51999	37.431515	7.9847245	70.94885	28.83024	37.431515	7.9848123	70.84297	28.757732	-1.0650328	0.76914346	3.701911	-7.579889	-37.695732	0.01843407	0.017814007	195.21883368492126
