Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	3.7584214	7.4050045	11.789266	-8.248243	33.79463	1.1184318	35.995358	31.913002	1000.0	1000.0	3999	8.382742	7.2219367	48.536777	-2.3168616	-9.870714	0.09399423	11.379524230957031
2	3.5712948	8.710941	14.072166	-7.9322968	14.101494	4.3439636	20.969788	5.7228155	1000.0	1000.0	7999	37.940765	13.034946	85.4591	9.862806	-39.851093	0.26059547	25.325767040252686
3	8.359046	12.973906	30.771923	-0.4258149	27.223923	1.2217367	29.246454	25.343603	1000.0	1000.0	11999	69.27589	20.161875	143.61168	21.601456	-71.746864	0.33182806	39.334691762924194
4	26.552101	9.407231	39.267746	13.1048565	30.118282	3.4458468	34.660656	20.907812	1000.0	1000.0	15999	102.36509	21.701307	162.46324	38.39253	-103.992004	0.40876648	54.266966819763184
5	22.651548	23.381691	59.988914	-3.7407546	-2.918887	1.3241508	-1.2283759	-5.5132236	1000.0	1000.0	19999	109.74645	17.761017	170.09299	47.035778	-110.76526	0.29484493	69.31975865364075
6	3.2625232	20.411934	23.37327	-26.414248	24.527323	1.5308727	26.896032	21.229532	1000.0	1000.0	23999	114.24092	22.472239	259.74832	53.229362	-115.25546	0.3514594	83.96378684043884
7	20.30393	6.831444	29.100235	10.648325	22.066372	1.749977	24.122833	18.732052	1000.0	1000.0	27999	114.92742	28.618301	249.1091	55.97614	-115.5731	0.25680667	98.45334386825562
8	5.526371	5.6949134	10.651911	-3.88071	13.427989	0.95759165	14.524148	11.538175	1000.0	1000.0	31999	107.83068	25.654419	221.33148	58.87464	-108.31894	0.20296939	112.70046973228455
9	8.817398	3.519866	12.308976	3.9982243	-9.780519	4.1195455	-2.4659374	-15.530488	1000.0	1000.0	35999	100.76412	22.453754	183.9709	60.434868	-101.22274	0.18332943	127.2584958076477
10	4.0364943	4.4702983	9.923292	-1.8931019	25.108433	9.764625	38.51868	15.16923	1000.0	1000.0	39999	92.73036	18.68553	159.03032	51.988663	-93.12115	0.14659457	142.00210738182068
11	37.62835	10.9117565	50.95812	21.80002	45.414192	0.5593671	46.614624	44.766228	1000.0	1000.0	43999	83.1746	14.7948675	138.3409	49.793446	-83.50337	0.10908805	157.14393973350525
12	42.568264	5.5841804	50.244934	36.931095	33.378838	2.527135	36.859406	29.147284	1000.0	1000.0	47999	72.89888	12.850667	125.74955	46.86823	-73.18601	0.07958188	171.4600691795349
13	23.969769	8.537123	34.276127	10.840515	41.73399	1.6814674	43.6012	39.0345	1000.0	1000.0	51999	65.1448	12.143643	113.45088	43.11246	-65.43129	0.06806161	185.2503216266632
14	35.05332	4.2214274	42.137314	31.83784	47.420673	20.88998	69.1336	24.89603	1000.0	1000.0	55999	57.42478	11.3291	99.35934	37.331017	-57.63147	0.06319438	200.0492763519287
15	16.259329	5.794406	19.999022	6.2368226	29.44751	1.6288793	31.828527	26.282589	1000.0	1000.0	59999	50.686665	10.987129	89.07166	31.681673	-50.902027	0.052713517	215.54145216941833
16	27.291466	4.6016083	32.154106	21.569807	21.844114	11.680786	46.157104	10.486655	1000.0	1000.0	63999	45.57956	11.136014	80.27428	26.602516	-45.764683	0.048744682	230.66169667243958
17	29.174953	5.4444666	36.01242	21.19331	38.173912	1.5691756	39.982113	35.563206	1000.0	1000.0	67999	40.451965	10.758721	75.34347	22.840073	-40.609745	0.044675477	245.620014667511
18	33.299515	4.5528536	37.963356	28.566391	37.654995	0.46776265	38.539288	36.888836	1000.0	1000.0	71999	35.92141	10.784083	73.17712	19.617012	-36.07553	0.040066805	260.2152988910675
19	33.852158	5.7597136	41.545475	26.131191	41.553616	1.056012	43.17981	40.312355	1000.0	1000.0	75999	31.56298	10.285262	68.48623	16.831608	-31.693188	0.034139503	274.77730679512024
20	36.108494	34.755444	85.43838	-12.812051	87.57301	43.93024	128.50015	31.047	1000.0	1000.0	79999	28.9376	9.789423	75.40904	14.601636	-29.214825	0.057099067	289.5029733181
